"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
SCL,"7/11/2024 12 p.m. PDT",1123,1144,706,-417
SCL,"7/11/2024 1 p.m. PDT",1141,1169,705,-436
SCL,"7/11/2024 2 p.m. PDT",1161,1190,727,-434
SCL,"7/11/2024 3 p.m. PDT",1172,1203,777,-395
SCL,"7/11/2024 4 p.m. PDT",1193,1219,743,-450
SCL,"7/11/2024 5 p.m. PDT",1213,1234,712,-501
SCL,"7/11/2024 6 p.m. PDT",1221,1243,809,-412
SCL,"7/11/2024 7 p.m. PDT",1195,1205,899,-296
SCL,"7/11/2024 8 p.m. PDT",1163,1166,867,-296
SCL,"7/11/2024 9 p.m. PDT",1124,1133,920,-204
SCL,"7/11/2024 10 p.m. PDT",1088,1117,842,-246
SCL,"7/11/2024 11 p.m. PDT",1027,1062,420,-607
SCL,"7/12/2024 12 a.m. PDT",938,978,348,-590
SCL,"7/12/2024 1 a.m. PDT",871,881,143,-728
SCL,"7/12/2024 2 a.m. PDT",813,828,141,-672
SCL,"7/12/2024 3 a.m. PDT",783,797,140,-643
SCL,"7/12/2024 4 a.m. PDT",773,782,138,-635
SCL,"7/12/2024 5 a.m. PDT",777,792,222,-555
SCL,"7/12/2024 6 a.m. PDT",802,824,256,-546
SCL,"7/12/2024 7 a.m. PDT",878,894,537,-341
SCL,"7/12/2024 8 a.m. PDT",959,969,552,-407
SCL,"7/12/2024 9 a.m. PDT",1027,1017,702,-325
SCL,"7/12/2024 10 a.m. PDT",1078,1051,747,-331
SCL,"7/12/2024 11 a.m. PDT",1121,1071,738,-383
SCL,"7/12/2024 12 p.m. PDT",1157,1092,769,-388
SCL,"7/12/2024 1 p.m. PDT",1186,1111,684,-502
SCL,"7/12/2024 2 p.m. PDT",1186,1131,698,-488
SCL,"7/12/2024 3 p.m. PDT",1207,1147,737,-470
SCL,"7/12/2024 4 p.m. PDT",1228,1165,736,-492
SCL,"7/12/2024 5 p.m. PDT",1252,1185,684,-568
SCL,"7/12/2024 6 p.m. PDT",1236,1195,766,-470
SCL,"7/12/2024 7 p.m. PDT",1182,1151,769,-413
SCL,"7/12/2024 8 p.m. PDT",1157,1113,815,-342
SCL,"7/12/2024 9 p.m. PDT",1161,1078,729,-432
SCL,"7/12/2024 10 p.m. PDT",1125,1060,782,-343
SCL,"7/12/2024 11 p.m. PDT",1077,1016,434,-643
SCL,"7/13/2024 12 a.m. PDT",1009,948,404,-605
SCL,"7/13/2024 1 a.m. PDT",895,909,253,-642
SCL,"7/13/2024 2 a.m. PDT",843,854,245,-598
SCL,"7/13/2024 3 a.m. PDT",810,818,241,-569
SCL,"7/13/2024 4 a.m. PDT",827,794,242,-585
SCL,"7/13/2024 5 a.m. PDT",821,785,197,-624
SCL,"7/13/2024 6 a.m. PDT",816,783,196,-620
SCL,"7/13/2024 7 a.m. PDT",830,809,393,-437
SCL,"7/13/2024 8 a.m. PDT",900,860,513,-387
SCL,"7/13/2024 9 a.m. PDT",964,918,524,-440
SCL,"7/13/2024 10 a.m. PDT",1032,963,547,-485
SCL,"7/13/2024 11 a.m. PDT",1046,1001,539,-507
SCL,"7/13/2024 12 p.m. PDT",1089,1027,538,-551
SCL,"7/13/2024 1 p.m. PDT",1116,1044,601,-515
SCL,"7/13/2024 2 p.m. PDT",1117,1055,633,-484
SCL,"7/13/2024 3 p.m. PDT",1140,1067,707,-433
SCL,"7/13/2024 4 p.m. PDT",1151,1089,710,-441
SCL,"7/13/2024 5 p.m. PDT",1171,1107,731,-440
SCL,"7/13/2024 6 p.m. PDT",1201,1126,883,-318
SCL,"7/13/2024 7 p.m. PDT",1209,1132,932,-277
SCL,"7/13/2024 8 p.m. PDT",1194,1107,934,-260
SCL,"7/13/2024 9 p.m. PDT",1171,1079,812,-359
SCL,"7/13/2024 10 p.m. PDT",1143,1068,813,-330
SCL,"7/13/2024 11 p.m. PDT",1093,1025,384,-709
SCL,"7/14/2024 12 a.m. PDT",1020,955,334,-686
SCL,"7/14/2024 1 a.m. PDT",952,923,232,-720
SCL,"7/14/2024 2 a.m. PDT",903,865,197,-706
SCL,"7/14/2024 3 a.m. PDT",867,827,195,-672
SCL,"7/14/2024 4 a.m. PDT",840,801,254,-586
SCL,"7/14/2024 5 a.m. PDT",826,785,248,-578
SCL,"7/14/2024 6 a.m. PDT",821,777,283,-538
SCL,"7/14/2024 7 a.m. PDT",836,797,397,-439
SCL,"7/14/2024 8 a.m. PDT",897,841,404,-493
SCL,"7/14/2024 9 a.m. PDT",958,898,403,-555
SCL,"7/14/2024 10 a.m. PDT",1008,950,494,-514
SCL,"7/14/2024 11 a.m. PDT",1061,992,507,-554
SCL,"7/14/2024 12 p.m. PDT",1088,1023,509,-579
SCL,"7/14/2024 1 p.m. PDT",1095,1050,502,-593
SCL,"7/14/2024 2 p.m. PDT",1149,1071,504,-645
SCL,"7/14/2024 3 p.m. PDT",1180,1089,685,-495
SCL,"7/14/2024 4 p.m. PDT",1191,1109,715,-476
