BA Code,Timestamp (Hour Ending),Demand (MWh)
SCL,1/21/2024 8 a.m. PST,1174.0
SCL,1/21/2024 9 a.m. PST,1230.0
SCL,1/21/2024 10 a.m. PST,1275.0
SCL,1/21/2024 11 a.m. PST,1314.0
SCL,1/21/2024 12 p.m. PST,1333.0
SCL,1/21/2024 1 p.m. PST,1360.0
SCL,1/21/2024 2 p.m. PST,1367.0
SCL,1/21/2024 3 p.m. PST,1338.0
SCL,1/21/2024 4 p.m. PST,1344.0
SCL,1/21/2024 5 p.m. PST,1372.0
SCL,1/21/2024 6 p.m. PST,1419.0
SCL,1/21/2024 7 p.m. PST,1428.0
SCL,1/21/2024 8 p.m. PST,1400.0
SCL,1/21/2024 9 p.m. PST,1362.0
SCL,1/21/2024 10 p.m. PST,1295.0
SCL,1/21/2024 11 p.m. PST,1219.0
SCL,1/22/2024 12 a.m. PST,1125.0
SCL,1/22/2024 1 a.m. PST,1070.0
SCL,1/22/2024 2 a.m. PST,1045.0
SCL,1/22/2024 3 a.m. PST,1026.0
SCL,1/22/2024 4 a.m. PST,1044.0
SCL,1/22/2024 5 a.m. PST,1087.0
SCL,1/22/2024 6 a.m. PST,1182.0
SCL,1/22/2024 7 a.m. PST,1279.0
SCL,1/22/2024 8 a.m. PST,1370.0
SCL,1/22/2024 9 a.m. PST,1428.0
SCL,1/22/2024 10 a.m. PST,1439.0
SCL,1/22/2024 11 a.m. PST,1443.0
SCL,1/22/2024 12 p.m. PST,1446.0
SCL,1/22/2024 1 p.m. PST,1450.0
SCL,1/22/2024 2 p.m. PST,1435.0
SCL,1/22/2024 3 p.m. PST,1405.0
SCL,1/22/2024 4 p.m. PST,1363.0
SCL,1/22/2024 5 p.m. PST,1393.0
SCL,1/22/2024 6 p.m. PST,1449.0
SCL,1/22/2024 7 p.m. PST,1422.0
SCL,1/22/2024 8 p.m. PST,1383.0
SCL,1/22/2024 9 p.m. PST,1332.0
SCL,1/22/2024 10 p.m. PST,1271.0
SCL,1/22/2024 11 p.m. PST,1177.0
SCL,1/23/2024 12 a.m. PST,1084.0
SCL,1/23/2024 1 a.m. PST,1035.0
SCL,1/23/2024 2 a.m. PST,988.0
SCL,1/23/2024 3 a.m. PST,978.0
SCL,1/23/2024 4 a.m. PST,970.0
SCL,1/23/2024 5 a.m. PST,1019.0
SCL,1/23/2024 6 a.m. PST,1117.0
SCL,1/23/2024 7 a.m. PST,1260.0
SCL,1/23/2024 8 a.m. PST,1359.0
SCL,1/23/2024 9 a.m. PST,1393.0
SCL,1/23/2024 10 a.m. PST,1382.0
SCL,1/23/2024 11 a.m. PST,1348.0
SCL,1/23/2024 12 p.m. PST,1293.0
SCL,1/23/2024 1 p.m. PST,1261.0
SCL,1/23/2024 2 p.m. PST,1229.0
SCL,1/23/2024 3 p.m. PST,1220.0
SCL,1/23/2024 4 p.m. PST,1247.0
SCL,1/23/2024 5 p.m. PST,1294.0
SCL,1/23/2024 6 p.m. PST,1370.0
SCL,1/23/2024 7 p.m. PST,1374.0
SCL,1/23/2024 8 p.m. PST,1343.0
SCL,1/23/2024 9 p.m. PST,1308.0
SCL,1/23/2024 10 p.m. PST,1260.0
SCL,1/23/2024 11 p.m. PST,1155.0
SCL,1/24/2024 12 a.m. PST,1095.0
SCL,1/24/2024 1 a.m. PST,1036.0
SCL,1/24/2024 2 a.m. PST,997.0
SCL,1/24/2024 3 a.m. PST,987.0
SCL,1/24/2024 4 a.m. PST,989.0
SCL,1/24/2024 5 a.m. PST,1027.0
SCL,1/24/2024 6 a.m. PST,1131.0
SCL,1/24/2024 7 a.m. PST,1267.0
SCL,1/24/2024 8 a.m. PST,1397.0
